model,accuracy,precision,recall,f1,auc,avg_precision,tn,fp,fn,tp,model,train_samples,test_samples
Rule-based,0.902962962962963,0.7829787234042553,0.2800608828006088,0.4125560538116592,0.6346540973142829,0.30687430508328206,4692,51,473,184,Rule-based (baseline),,
LightGBM,0.9740740740740741,0.9327731092436975,0.8473282442748091,0.888,0.97191901479259,0.9255834869295939,941,8,20,111,LightGBM,4320,1080
Isolation Forest,0.8822,0.5157545605306799,0.5115131578947368,0.5136251032204789,0.8286429123526028,0.5202716780427745,4100,292,297,311,Isolation Forest,5400,5000
LSTM-Autoencoder,0.538,0.15293637846655792,0.6167763157894737,0.24509803921568626,0.5588946484637138,0.16014742239408286,2315,2077,233,375,LSTM-Autoencoder,2376,5000
Hard Voting Fusion,0.9033333333333333,0.5904255319148937,0.6201117318435754,0.6049046321525886,0.933604768691401,0.7818562704385021,2488.0,154.0,136.0,222.0,,,
Soft Voting Fusion,0.9266666666666666,0.73,0.611731843575419,0.6656534954407295,0.933604768691401,0.7818562704385021,2561.0,81.0,139.0,219.0,,,
